#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142
#Sectors = s0001-s0001
#Created Date = 2018-11-14
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00141268467-02,141268467,2,3,6435,3.98035,2.09028,-1,20.5478,-1,0.0973985,7.00969,0.0349528,1.93246,10815.1,-1,2.5,1326.64,-1,0.225321,0.1,102.11,-0.38472,13,317.891,750.758,263.795,2111.32,4696.14
00141268467-03,141268467,3,3,6435,3.98035,2.09028,-1,18.7038,-1,0.0886577,5.8052,0.0349528,1.93246,8962.57,-1,3,1326.27,-1,0.248842,0.1,27.0667,0.60694,0,249.432,594.015,239.434,2111.32,4696.14
00141334293-01,141334293,1,1,3137,4.438,15.466,0.0176096,20.4196,3.38211,0.187044,24.7422,0.121546,1,35150.6,8934.29,4.44577,1335.25,0.0121886,1.40443,0.737228,9.08577,-2.65694,2,106.213,20.1048,24.9516,397.041,5.87306
00141484981-01,141484981,1,2,8130,4.36343,0.337533,3.33097e-005,2.28306,1.2564,0.0136293,2.06363,0.0119253,1.53441,191.998,22.6311,1.01518,1325.53,0.00120233,0.0267448,0.685515,9.83425,0.16664,82,56.0339,8.76569,2.9511,4069.28,64802.6
00141484981-02,141484981,2,2,8130,4.36343,0.337617,2.30594e-005,2.7607,0.925925,0.0164807,1.78772,0.0119273,1.53441,279.481,19.5043,1.19828,1325.35,0.000833966,0.0401773,0.7,0,0.16806,83,67.6697,10.5174,3.58722,4068.95,64781.1
00141606986-01,141606986,1,2,5868.9,4.20529,7.54028,-1,5.33028,-1,0.0357382,11.892,0.0775389,1.3662,1461.14,-1,5,1327.82,-1,0.174603,0.1,12.24,2.21528,4,8.97464,22.6735,17.6197,1087.04,329.993
00141606986-02,141606986,2,2,5868.9,4.20529,0.343801,1.70878e-006,90.822,10.4995,0.608939,2.20935,0,1.3662,400817,2234.09,2.11811,1325.47,5.90547e-005,0.913828,0.307619,21.3245,0.1574,81,295.705,24.2017,8.16564,0,0
00141622065-01,141622065,1,1,6640.1,4.23521,1.46399,2.41688e-005,60.5579,10.9081,0.388798,2.11383,0.0273829,1.42674,161074,613.895,7.62264,1326.31,0.000244543,2.87833,0.507383,1.97517,0.85,19,283.995,146.68,44.5898,2114.95,4728.44
00141708335-01,141708335,1,1,3384,4.92123,4.76161,0.00136845,2.17086,0.38909,0.0606256,6.74974,0.038193,0.328,3173.31,248.856,3.037,1328.66,0.00396908,0.805816,0.902085,2.28697,-1.08889,6,10.8482,12.2705,6.67113,437.59,8.66545
00141770047-01,141770047,1,1,7675,4.39824,0.269369,3.35324e-005,3.52173,1.08558,0.0229654,2.10149,0.00993545,1.40469,482.599,84.1284,0.530134,1325.37,0.00108442,0.0594119,0.901407,3.00153,0.05521,104,69.3939,7.37761,2.60042,4026.86,62142.4
